artist,track,duration,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre
Boston,Hitch a Ride,4.2,54.0,0.382,0.814,3.0,-7.23,1,0.0406,0.0011,0.00401,0.101,0.569,116.454,4,rock
Red Hot Chili Peppers,Nobody Weird Like Me - Remastered,3.83,53.0,0.167,0.975,2.0,-4.279,1,0.216,0.000169,0.0161,0.172,0.0918,199.06,4,rock
Professional Murder Music,Slow,3.96,29.0,0.431,0.776,10.0,-5.403,1,0.0527,2.21e-05,0.0013,0.179,0.318,120.857,4,metal
Mohammed Rafi,Meri Dosti Mera Pyar,4.33,11.0,0.491,0.563,7.0,-8.588,0,0.0331,0.957,0.0023,0.263,0.843,95.558,4,bollywood
"Harald Lassen, Bram de Looze",How it feels pt. 2,4.44,34.0,0.462,0.374,11.0,-12.069,0,0.0331,0.949,0.929,0.131,0.174,122.939,3,instrumental
Buffalo Springfield,For What It's Worth,2.56,76.0,0.653,0.519,2.0,-10.164,1,0.0497,0.406,0.0209,0.101,0.822,98.883,4,rock
Dudu Aharon,לא יכול בלעדייך,2.99,14.0,0.713,0.939,5.0,-3.609,0,0.0372,0.11,5.88e-06,0.331,0.88,108.034,4,pop
Velvet Two Stripes,Drinks,2.57,31.0,0.564,0.801,1.0,-4.73,0,0.0473,0.00233,0.0078,0.067,0.401,105.01,4,rock
Eden Ben Zaken,מנגינה,3.63,29.0,0.57,0.458,9.0,-5.935,0,0.0236,0.502,2.35e-06,0.134,0.19,93.088,4,pop
Krankhead,Cut Throat,2.3,29.0,0.805,0.448,7.0,-9.452,1,0.112,0.0602,1.79e-06,0.113,0.775,160.018,4,hiphop
The Stone Roses,Driving South,5.16,44.0,0.472,0.947,9.0,-6.128,1,0.0774,9.43e-06,0.0155,0.364,0.75,98.784,4,rock
MC Hammer,U Can't Touch This,4.29,73.0,0.867,0.517,11.0,-13.222,0,0.0875,0.00456,0.000339,0.0864,0.866,133.148,4,pop
Rainbow,Since You Been Gone,3.29,66.0,0.733,0.726,7.0,-6.514,1,0.0371,0.379,2.58e-06,0.471,0.915,120.814,4,metal
Tetrarch,Negative Noise,4.12,49.0,0.384,0.974,1.0,-3.647,0,0.141,0.000153,0.000247,0.226,0.155,194.842,4,metal
Kvelertak,Crack of Doom (feat. Troy Sanders),3.9,44.0,0.357,0.977,1.0,-6.489,0,0.124,1.6e-05,0.892,0.105,0.28,159.81,4,metal
Better Than Ezra,Good,3.08,63.0,0.615,0.657,7.0,-6.873,1,0.029,0.000372,0.0204,0.132,0.792,109.95,4,rock
Silversun Pickups,Lazy Eye,5.91,65.0,0.633,0.831,4.0,-5.053,1,0.0461,0.0401,0.693,0.117,0.243,127.397,4,rock
U2,The Blackout,4.77,49.0,0.624,0.528,9.0,-9.103,0,0.0344,0.0286,0.00516,0.0866,0.33,120.049,4,rock
Victor Manu,Raphaela,3.01,47.0,0.494,0.0634,2.0,-19.203,1,0.044,0.984,0.926,0.11,0.15,78.227,4,instrumental
The Last Shadow Puppets,Bad Habits,3.02,49.0,0.52,0.642,9.0,-7.546,1,0.0434,0.000517,0.0017,0.0794,0.449,88.967,4,rock
BENEE,C U,3.01,53.0,0.521,0.532,9.0,-11.492,0,0.0357,0.563,0.000435,0.386,0.326,95.19,4,pop
Berry Sakharof,נפתלי הדג,5.87,18.0,0.501,0.474,2.0,-13.893,1,0.0299,0.608,0.885,0.147,0.281,102.404,4,rock
Soen,Lotus,5.4,49.0,0.425,0.403,4.0,-9.343,0,0.0273,0.0792,0.0049,0.113,0.135,155.761,4,rock
Vani Jairam,Bole Re Papihara,3.58,20.0,0.373,0.707,1.0,-9.566,0,0.0562,0.668,3.68e-05,0.361,0.75,89.1,4,bollywood
Tha Dogg Pound,"New York, New York",4.84,56.0,0.827,0.532,2.0,-4.775,1,0.302,0.0219,2.91e-05,0.127,0.694,87.257,4,hiphop
El Goodo,Feel so Fine,3.96,30.0,0.247,0.88,2.0,-3.057,1,0.097,2.01e-05,0.309,0.122,0.333,134.445,4,rock
Why Bonnie,Athlete,3.2,24.0,0.539,0.578,4.0,-8.522,1,0.0278,0.0987,0.000923,0.28,0.353,102.03,4,rock
Radiohead,Burn the Witch,3.68,57.0,0.54,0.847,11.0,-6.52,1,0.0297,0.303,0.272,0.109,0.62,148.936,4,rock
Oceans,Shark Tooth,3.31,42.0,0.435,0.889,11.0,-6.462,0,0.0474,2.38e-05,0.000872,0.87,0.344,93.896,4,metal
The Stranglers,Golden Brown,3.45,71.0,0.562,0.383,6.0,-15.474,1,0.0304,0.143,0.124,0.138,0.599,93.764,3,rock
Joe Bonamassa,Cradle Rock,3.83,44.0,0.411,0.91,2.0,-4.867,1,0.0392,0.000243,0.00082,0.0931,0.613,106.675,4,rock
LeRoi Thirteen,Stand up and Shout (Cover),3.83,41.0,0.49,0.974,8.0,-4.295,1,0.115,0.000546,0.225,0.336,0.257,108.946,4,metal
Primal Scream,Movin' on Up,3.8,63.0,0.523,0.76,5.0,-12.437,1,0.0325,0.103,0.00068,0.0666,0.581,94.267,4,rock
Drake,Passionfruit,4.98,81.0,0.809,0.463,11.0,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,4,pop
Abstract Orchestra,New Day,2.42,45.0,0.748,0.411,8.0,-6.06,0,0.0489,0.0532,0.0117,0.115,0.339,91.941,4,hiphop
